M|efConstruction|efSearch|recall@1|build_time|search_time|memory_usage
4|32|32|9|3394|143|561630
8|2|2|10|3083|132|592914
8|2|4|10|3083|159|592914
8|2|8|10|3083|136|592914
8|2|16|10|3083|127|592914
8|2|32|10|3083|127|592914
8|4|2|10|2768|145|592914
8|4|4|10|2768|140|592914
8|4|8|10|2768|137|592914
8|4|16|10|2768|153|592914
8|4|32|10|2768|133|592914
8|8|2|9|2725|132|592914
8|8|4|9|2725|119|592914
8|8|8|9|2725|122|592914
8|8|16|9|2725|140|592914
8|8|32|9|2725|116|592914
8|16|2|9|2746|134|592914
8|16|4|9|2746|118|592914
8|16|8|9|2746|128|592914
8|16|16|9|2746|131|592914
8|16|32|9|2746|138|592914
8|32|2|10|2759|126|592914
8|32|4|10|2759|142|592914
8|32|8|10|2759|134|592914
8|32|16|10|2759|131|592914
8|32|32|10|2759|149|592914
16|2|2|10|3319|137|656090
16|2|4|10|3319|126|656090
16|2|8|10|3319|145|656090
16|2|16|10|3319|130|656090
16|2|32|10|3319|147|656090
16|4|2|10|2900|132|656090
16|4|4|10|2900|141|656090
16|4|8|10|2900|127|656090
16|4|16|10|2900|150|656090
16|4|32|10|2900|145|656090
16|8|2|10|2753|127|656090
16|8|4|10|2753|141|656090
16|8|8|10|2753|141|656090
16|8|16|10|2753|126|656090
16|8|32|10|2753|163|656090
16|16|2|10|2888|130|656090
16|16|4|10|2888|147|656090
16|16|8|10|2888|130|656090
16|16|16|10|2888|142|656090
16|16|32|10|2888|140|656090
16|32|2|10|2816|122|656090
16|32|4|10|2816|135|656090
16|32|8|10|2816|124|656090
16|32|16|10|2816|146|656090
16|32|32|10|2816|133|656090
32|2|2|10|4226|136|783682
32|2|4|10|4226|130|783682
32|2|8|10|4226|139|783682
32|2|16|10|4226|143|783682
32|2|32|10|4226|143|783682
32|4|2|10|6738|140|783682
32|4|4|10|6738|133|783682
32|4|8|10|6738|134|783682
32|4|16|10|6738|144|783682
32|4|32|10|6738|125|783682
32|8|2|10|4364|138|783682
32|8|4|10|4364|139|783682
32|8|8|10|4364|138|783682
32|8|16|10|4364|176|783682
32|8|32|10|4364|224|783682
32|16|2|10|6046|138|783682
32|16|4|10|6046|143|783682
32|16|8|10|6046|134|783682
32|16|16|10|6046|133|783682
32|16|32|10|6046|141|783682
32|32|2|10|4443|124|783682
32|32|4|10|4443|139|783682
32|32|8|10|4443|134|783682
32|32|16|10|4443|146|783682
32|32|32|10|4443|124|783682
64|2|2|10|4798|140|1040054
64|2|4|10|4798|128|1040054
64|2|8|10|4798|142|1040054
64|2|16|10|4798|157|1040054
64|2|32|10|4798|146|1040054
64|4|2|10|5636|148|1040054
64|4|4|10|5636|171|1040054
64|4|8|10|5636|159|1040054
64|4|16|10|5636|155|1040054
64|4|32|10|5636|150|1040054
64|8|2|10|5559|136|1040054
64|8|4|10|5559|142|1040054
64|8|8|10|5559|132|1040054
64|8|16|10|5559|166|1040054
64|8|32|10|5559|136|1040054
64|16|2|10|4665|196|1040054
64|16|4|10|4665|143|1040054
64|16|8|10|4665|150|1040054
64|16|16|10|4665|129|1040054
64|16|32|10|4665|149|1040054
64|32|2|10|5017|197|1040054
64|32|4|10|5017|147|1040054
64|32|8|10|5017|150|1040054
64|32|16|10|5017|158|1040054
64|32|32|10|5017|140|1040054
128|2|2|10|5104|142|1551286
